id,nombre,id_provincia
06616,Pellegrini,6
06623,Pergamino,6
06630,Pila,6
06638,Pilar,6
06644,Pinamar,6
06648,Presidente Perón,6
06651,Puán,6
06655,Punta Indio,6
06658,Quilmes,6
06665,Ramallo,6
06672,Rauch,6
06679,Rivadavia,6
06693,Roque Pérez,6
06770,San Pedro,6
06700,Saavedra,6
06707,Saladillo,6
06714,Salto,6
06721,Salliqueló,6
06728,San Andrés de Giles,6
06735,San Antonio de Areco,6
06742,San Cayetano,6
06749,San Fernando,6
06756,San Isidro,6
06760,San Miguel,6
06763,San Nicolás,6
06778,San Vicente,6
06784,Suipacha,6
06791,Tandil,6
06798,Tapalqué,6
06805,Tigre,6
06812,Tordillo,6
06819,Tornquist,6
06826,Trenque Lauquen,6
06840,Tres de Febrero,6
06847,Tres Lomas,6
06854,25 de Mayo,6
06861,Vicente López,6
06875,Villarino,6
06882,Zárate,6
10007,Ambato,10
10014,Ancasti,10
10021,Andalgalá,10
10028,Antofagasta de la Sierra,10
10035,Belén,10
10042,Capayán,10
10049,Capital,10
10056,El Alto,10
10063,Fray Mamerto Esquiú,10
10070,La Paz,10
10070,La Paz,86
10077,Paclín,10
10084,Pomán,10
10091,Santa María,10
10098,Santa Rosa,10
10105,Tinogasta,10
10112,Valle Viejo,10
14007,Calamuchita,14
14014,Capital,14
14021,Colón,14
14028,Cruz del Eje,14
14035,General Roca,14
14042,General San Martín,14
14063,Marcos Juárez,14
14070,Minas,14
14077,Pocho,14
14084,Presidente Roque Sáenz Peña,14
14091,Punilla,14
14098,Río Cuarto,14
14105,Río Primero,14
14112,Río Seco,14
14133,San Javier,14
14119,Río Segundo,14
14126,San Alberto,14
14140,San Justo,14
14147,Santa María,14
14154,Sobremonte,14
14161,Tercero Arriba,14
14168,Totoral,14
14175,Tulumba,14
14182,Unión,14
18007,Bella Vista,18
18014,Berón de Astrada,18
18021,Capital,18
18035,Curuzú Cuatiá,18
18042,Empedrado,18
18049,Esquina,18
18056,General Alvear,18
18063,General Paz,18
18070,Goya,18
18077,Itatí,18
18084,Ituzaingó,18
18091,Lavalle,18
18098,Mburucuyá,18
18105,Mercedes,18
18112,Monte Caseros,18
18119,Paso de los Libres,18
18126,Saladas,18
18133,San Cosme,18
18140,San Luis del Palmar,18
18147,San Martín,18
18154,San Miguel,18
18161,San Roque,18
18168,Santo Tomé,18
18175,Sauce,18
22007,Almirante Brown,22
22014,Bermejo,22
22021,Comandante Fernández,22
22028,Chacabuco,22
22036,12 de Octubre,22
22039,2 de Abril,22
22043,Fray Justo Santa María de Oro,22
22049,General Belgrano,22
22063,General Güemes,22
22070,Independencia,22
22077,Libertad,22
22084,Libertador General San Martín,22
22091,Maipú,22
22105,9 de Julio,22
22112,O'Higgins,22
22119,Presidencia de la Plaza,22
22126,1º de Mayo,22
22140,San Fernando,22
22147,San Lorenzo,22
22154,Sargento Cabral,22
22161,Tapenagá,22
22168,25 de Mayo,22
26007,Biedma,62
26007,Biedma,26
26014,Cushamen,26
26021,Escalante,26
26028,Florentino Ameghino,26
26035,Futaleufú,26
26042,Gaiman,26
26049,Gastre,26
26056,Languiñeo,26
26063,Mártires,26
26070,Paso de Indios,26
26077,Rawson,26
26084,Río Senguer,26
26091,Sarmiento,26
26098,Tehuelches,26
26105,Telsen,26
30008,Colón,30
30015,Concordia,30
30028,Federación,30
30035,Federal,30
30042,Feliciano,30
30063,Islas del Ibicuy,30
30049,Gualeguay,30
30056,Gualeguaychú,30
30077,Nogoyá,30
30084,Paraná,30
30088,San Salvador,30
30098,Uruguay,30
30105,Victoria,30
30113,Villaguay,30
34007,Bermejo,34
34014,Formosa,34
34021,Laishi,34
34028,Matacos,34
34035,Patiño,34
34056,Pirané,34
34042,Pilagás,34
34049,Pilcomayo,34
34063,Ramón Lista,34
38007,Cochinoca,38
38014,El Carmen,38
38021,Dr. Manuel Belgrano,38
38028,Humahuaca,38
38035,Ledesma,38
38042,Palpalá,38
38049,Rinconada,38
38056,San Antonio,38
38063,San Pedro,38
38070,Santa Bárbara,38
38077,Santa Catalina,38
38084,Susques,38
38098,Tumbaya,38
38105,Valle Grande,38
38112,Yavi,38
42007,Atreucó,42
42014,Caleu Caleu,42
42021,Capital,42
42028,Catriló,42
42035,Conhelo,42
42042,Curacó,42
42049,Chalileo,42
42056,Chapaleufú,42
42063,Chical Co,42
42070,Guatraché,42
42077,Hucal,42
42084,Lihuel Calel,42
42091,Limay Mahuida,42
42098,Loventué,42
42112,Puelén,42
42119,Quemú Quemú,42
42126,Rancul,42
42133,Realicó,42
42140,Toay,42
42147,Trenel,42
42154,Utracán,42
46007,Arauco,46
46014,Capital,46
46021,Castro Barros,46
46028,Coronel Felipe Varela,46
46035,Chamical,46
46042,Chilecito,46
46049,Famatina,46
46056,General Angel V. Peñaloza,46
46063,General Belgrano,46
46070,General Juan Facundo Quiroga,46
46084,General Ocampo,46
46077,General Lamadrid,46
46091,General San Martín,46
46098,Vinchina,46
46105,Independencia,46
46112,Rosario Vera Peñaloza,46
50056,Lavalle,50
46119,San Blas de los Sauces,46
46126,Sanagasta,46
50007,Capital,50
50021,Godoy Cruz,50
50028,Guaymallén,50
50035,Junín,50
50049,Las Heras,50
50063,Luján de Cuyo,50
50070,Maipú,50
50077,Malargüe,50
50084,Rivadavia,50
50098,San Martín,50
50091,San Carlos,50
50105,San Rafael,50
50112,Santa Rosa,50
54007,Apóstoles,54
54014,Cainguás,54
54021,Candelaria,54
54028,Capital,54
54035,Concepción,54
54042,Eldorado,54
54049,General Manuel Belgrano,54
54056,Guaraní,54
54063,Iguazú,54
54070,Leandro N. Alem,54
54077,Libertador General San Martín,54
54084,Montecarlo,54
54091,Oberá,54
54098,San Ignacio,54
54105,San Javier,54
54119,25 de Mayo,54
58007,Aluminé,58
58014,Añelo,58
58021,Catan Lil,58
58028,Collón Curá,58
58035,Confluencia,58
58042,Chos Malal,58
58049,Huiliches,58
58056,Lácar,58
58063,Loncopué,58
58070,Los Lagos,58
58077,Minas,58
58091,Pehuenches,58
62007,Adolfo Alsina,62
62014,Avellaneda,62
62021,Bariloche,62
62028,Conesa,62
62035,El Cuy,62
62042,General Roca,62
62049,9 de Julio,62
62056,Ñorquinco,62
62070,Pilcaniyeu,62
62077,San Antonio,62
62084,Valcheta,62
62091,25 de Mayo,62
66007,Anta,66
66014,Cachi,66
66021,Cafayate,66
66028,Capital,66
66035,Cerrillos,66
66042,Chicoana,66
66049,General Güemes,66
66056,General José de San Martín,66
66063,Guachipas,66
66070,Iruya,66
66077,La Caldera,66
66084,La Candelaria,66
66091,La Poma,66
66098,La Viña,66
66112,Metán,66
66119,Molinos,66
66133,Rivadavia,66
66140,Rosario de la Frontera,66
66147,Rosario de Lerma,66
66154,San Carlos,66
66161,Santa Victoria,66
70007,Albardón,70
70014,Angaco,70
70021,Calingasta,70
70028,Capital,70
70035,Caucete,70
70042,Chimbas,70
70056,Jáchal,70
70063,9 de Julio,70
70070,Pocito,70
70084,Rivadavia,70
70091,San Martín,70
70098,Santa Lucía,70
70105,Sarmiento,70
70112,Ullúm,70
70119,Valle Fértil,70
70126,25 de Mayo,70
70133,Zonda,70
74007,Ayacucho,74
74014,Belgrano,74
74021,Coronel Pringles,74
74028,Chacabuco,74
74035,General Pedernera,74
74049,Junín,74
74056,Juan Martín Pueyrredón,74
74056,La Capital,74
74063,Libertador General San Martín,74
78007,Corpen Aike,78
78021,Güer Aike,78
78028,Lago Argentino,78
78035,Lago Buenos Aires,78
78042,Magallanes,78
78049,Río Chico,78
82014,Caseros,82
82028,Constitución,82
82021,Castellanos,82
82035,Garay,82
82042,General López,82
82056,Iriondo,82
82049,General Obligado,82
82063,La Capital,82
82077,9 de Julio,82
82084,Rosario,82
82098,San Javier,82
82105,San Jerónimo,82
82112,San Justo,82
82119,San Lorenzo,82
82133,Vera,82
86014,Alberdi,86
86021,Atamisqui,86
86028,Avellaneda,86
86035,Banda,86
86042,Belgrano,86
86049,Capital,86
86056,Copo,86
86063,Choya,86
86070,Figueroa,86
86077,General Taboada,86
86084,Guasayán,86
86084,Guasayán,10
86091,Jiménez,86
86098,Juan Felipe Ibarra,86
86105,Loreto,86
86112,Mitre,86
86161,Robles,86
86126,Ojo de Agua,86
90014,Cruz Alta,90
86140,Quebrachos,86
86147,Río Hondo,86
86168,Salavina,86
86175,San Martín,86
86182,Sarmiento,86
86189,Silípica,86
90007,Burruyacú,90
90021,Chicligasta,90
90028,Famaillá,90
90042,Juan Bautista Alberdi,90
90049,La Cocha,90
90056,Leales,90
90063,Lules,90
90070,Monteros,90
90077,Río Chico,90
90084,Capital,90
90091,Simoca,90
90098,Tafí del Valle,90
90105,Tafí Viejo,90
90112,Trancas,90
90119,Yerba Buena,90
94007,Río Grande,94
94014,Ushuaia,94
02001,Comuna 1,2
02002,Comuna 10,2
02003,Comuna 11,2
02004,Comuna 12,2
02005,Comuna 13,2
02007,Comuna 15,2
02008,Comuna 2,2
02010,Comuna 4,2
02012,Comuna 6,2
02013,Comuna 7,2
"02015
","Comuna 9
",2
94021,Islas del Atlántico Sur,94
06868,Villa Gesell,6
14049,Ischilín,14
22056,General Donovan,22
22098,Mayor Luis J. Fontana,22
22133,Quitilipi,22
30021,Diamante,30
30070,La Paz,30
30091,Tala,30
38094,Tilcara,38
50014,General Alvear,50
50042,La Paz,50
50119,Tunuyán,50
50126,Tupungato,50
54112,San Pedro,54
58084,Ñorquín,58
58098,Picún Leufú,58
58105,Picunches,58
70077,Rawson,70
74042,Gobernador Dupuy,74
78014,Deseado,78
82070,Las Colonias,82
82091,San Cristóbal,82
82126,San Martín,82
86119,Moreno,86
86133,Pellegrini,86
86154,Rivadavia,86
90035,Graneros,90
02006,Comuna 14,2
02011,Comuna 5,2
02014,Comuna 8,2
66105,Los Andes,66
66126,Orán,66
86007,Aguirre,86
42105,Maracó,42
62063,Pichi Mahuida,62
70049,Iglesia,70
02009,Comuna 3,2
94011,Tolhuin,94
94028,Antártida Argentina,94
94008,Río Grande,94
94015,Ushuaia,94
